"LANGUAGE_NAME"	"Русский"
"MOD_DESC"	"заменяет и включает облака, используемые в After Dark (до обновления погоды) "
"VANILLA_LABEL"	" (Стандартное)"
"TAB_NAME_SELECT"	"Выбрать"
"TAB_NAME_PROPERTIES"	"Параметры"
"TAB_NAME_SUPPORT"	"Поддержка"
"ENABLE_AD_CLOUD"	"Включить AD Cloud"
"SELECT_CLOUD"	"Выберите облако"
"TIP_REFRESH_BTN"	"Обновить"
"TIP_OPENLOCALFOLDER_BTN"	"Открыть локальную папку"
"TIP_DMFWORKSHOP_BTN"	"Загрузить больше облаков из Мастерской Steam"
"APPLY_BTN"	"Применить"
"TIP_VANILLA_PREVIEW"	"Стандартные облака зависят от окружающей среды карты и их можно увидеть только в игре."
"CLOUD_SIZE_LABEL"	"Размер"
"CONTROL_MODE"	"Изменение облаков"
"GROUP_CONTROL"	"Изменение"
"MODE_VANILLA"	"Стандартное"
"MODE_CUSTOM"	"Произвольное"
"TIP_VANILLA_MODE"	"Загрузить стандартные значения. Измененные значения не будут сохранены."
"TIP_CUSTOM_MODE"	"Изменённые значения будут сохранены."
"RESET_TO_VANILLA_BTN"	"Сбросить до стандартного"
"TIP_RESET_TO_VANILLA_BTN"	"Загрузить стандартные значения текущей окружающей среды"
"ALPHA_SATURATION"	"Насыщенность"
"ATTENUATION"	"Затухание"
"STEP_SIZE"	"Размер шага"
"ROTATE_SPPED"	"Скорость вращения"
"SKY_COLOR_MULTIPLIER"	"Множитель цвета неба"
"SUN_COLOR_MULTIPLIER"	"Множитель цвета солнца"
"TIP_DISABLED_CONTROL_PANEL"	"В стандартном режиме управление настройками доступно из игры"
"STEAM_WORKSHOP_PAGE_BTN"	"Страница Мастерской Steam"
"GITHUB_REPOSITORY_BTN"	"Репозиторий Github"
"SELECT_LANGUAGE"	"Выберите язык"
"USE_GAME_LANGUAGE"	"Исп. язык игры"
"GROUP_LOCALIZATION"	"Локализация"
"CROWDIN_LINK_DESC"	"Заинтересованы в переводе? Посетите проект на Crowdin."
