"Key"	"String"	"Context"
"MOD_DESC"	"Заменить и включить облака, используемое в After Dark(перед обновлением погоды). Версия {Version}"	""
"TAB_NAME_SELECT"	"Выбрать"	""
"TAB_NAME_PROPERTIES"	"Настройки"	""
"TAB_NAME_SUPPORT"	"Поддержка"	""
"ENABLE_AD_CLOUD"	"Включить AD Облака"	""
"SELECT_CLOUD"	"Выбрать облако"	""
"TIP_REFRESH_BTN"	"Обновить"	""
"TIP_OPENLOCALFOLDER_BTN"	"Открыть локальную папку"	""
"TIP_DMFWORKSHOP_BTN"	"Загрузить больше облаков из Мастерской Steam"	""
"TIP_VANILLA_PREVIEW"	"Стандартные облака зависят от среды карты, поэтому вы можете просматривать их только в игре."	""
"CLOUD_SIZE_LABEL"	"Размер"	""
"CONTROL_MODE"	"Изменение облаков"	""
"GROUP_CONTROL"	"Изменение"	""
"TIP_VANILLA_MODE"	"Загрузить стандартные значения. Измененные значения не будут сохранены."	""
"TIP_CUSTOM_MODE"	"Изменённые значения будут сохранены."	""
"RESET_TO_VANILLA_BTN"	"Сбросить до стандартного"	""
"TIP_RESET_TO_VANILLA_BTN"	"Загрузить стандартные значения текущей окружающей среды"	""
"ALPHA_SATURATION"	"Насыщенность"	""
"ATTENUATION"	"Затухание"	""
"STEP_SIZE"	"Размер шага"	""
"ROTATE_SPPED"	"Скорость вращения"	""
"SKY_COLOR_MULTIPLIER"	"Множитель цвета неба"	""
"SUN_COLOR_MULTIPLIER"	"Множитель цвета солнца"	""
"TIP_DISABLED_CONTROL_PANEL"	"В стандартном режиме управление настройками доступно из игры"	""
"GROUP_INGAMEUI"	"Игровой интерфейс"	""
"SHOW_MOD_BUTTON"	"Показать кнопку мода"	""
"MOD_BUTTON_POSITION"	"Положение кнопки мода"	""
"PANEL_POSITION"	"Положение панели"	""
"TIP_DISABLED_APPLYBTN"	"Пожалуйста, введите допустимые значения перед применением"	""
