"LANGUAGE_NAME"	"Polski"
"MOD_DESC"	"zastępuje i włącza chmury używane w After Dark (przed Aktualizacją Pogody) "
"VANILLA_LABEL"	" (Domyślne)"
"TAB_NAME_SELECT"	"Wybierz"
"TAB_NAME_PROPERTIES"	"Właściwości"
"TAB_NAME_SUPPORT"	"Wsparcie"
"ENABLE_AD_CLOUD"	"Włącz Chmury AD"
"SELECT_CLOUD"	"Wybierz Chmurę"
"TIP_REFRESH_BTN"	"Odśwież"
"TIP_OPENLOCALFOLDER_BTN"	"Otwórz folder lokalny"
"TIP_DMFWORKSHOP_BTN"	"Pobierz więcej chmur z Warsztatu Steam"
"APPLY_BTN"	"Zastosuj"
"TIP_VANILLA_PREVIEW"	"Domyślne chmury zależą od środowiska mapy i mogą być widoczne tylko w grze."
"CLOUD_SIZE_LABEL"	"Rozmiar"
"CONTROL_MODE"	"Tryb sterowania"
"GROUP_CONTROL"	"Sterowanie"
"MODE_VANILLA"	"Domyślne"
"MODE_CUSTOM"	"Niestandardowe"
"TIP_VANILLA_MODE"	"Wczytaj wartości domyślne. Zmienione wartości nie zostaną zapisane."
"TIP_CUSTOM_MODE"	"Zmieniona wartość zostanie zapisana w pliku config."
"RESET_TO_VANILLA_BTN"	"Przywróć domyślne"
"TIP_RESET_TO_VANILLA_BTN"	"Załaduj domyślne wartości obecnego środowiska"
"ALPHA_SATURATION"	"Nasycenie Alfa"
"ATTENUATION"	"Rozrzedzenie"
"STEP_SIZE"	"Szybkość Przewijania"
"ROTATE_SPPED"	"Prędkość obrotu"
"SKY_COLOR_MULTIPLIER"	"Mnożnik Koloru Nieba"
"SUN_COLOR_MULTIPLIER"	"Mnożnik Koloru Słońca"
"TIP_DISABLED_CONTROL_PANEL"	"W trybie domyślnym, ustawienie kontroli dostępne w grze"
"STEAM_WORKSHOP_PAGE_BTN"	"Strona Warsztatu Steam"
"GITHUB_REPOSITORY_BTN"	"Repozytorium Github"
"SELECT_LANGUAGE"	"Wybierz język"
"USE_GAME_LANGUAGE"	"Używaj języka gry"
"GROUP_LOCALIZATION"	"Lokalizacja"
"CROWDIN_LINK_DESC"	"Jesteś zainteresowany tłumaczeniem? Odwiedź projekt Crowdin moda."
